@relation testing

@attribute User string
@attribute Text string
@attribute Sentiment {positive,negative,neutral}

@data
'sbaffato','RT @marioadinolfi Notte agitata Roma Marino verso dimissioni Commissario vota primavera ',?
'maumau6666','Crozza vergogni davvero Ormai fa ridere Marino Renzi risultato patetico  identico ',?
'MPenikas','RT @marcellodevito Incredibile Marino ha detto restituisce soldi Ha mangiato insaputa ',?
'marino29b','RT @collecolluso Tassone (PD)ARRESTATOha portato Marino47933 voti #Marinodimettiti #la ',?
'TAL77SVAD','RT @FraLisci75 diamine deve fare politico dimettersi Italia#Marino situazione  diventata patetica aspetti  ',?
'TAL77SVAD','RT @demmy747 certezze Marinoabbandonato #PD traballano sussurro dimissioni diffonde ',?
'PGiancontier','RT @virginiaraggi @ignaziomarino regala 20mila cittRoma compra @M5SRoma @marcellodevito @danielefron ',?
'infoitinterno','Campidoglio polveriera spese pazze sindaco Marino Restituisco soldi vado avanti Procura indaga ',?
'poke_dem','Marino indagato spese lui Restituisco 20mila euro citt ',?
'GambiniStefano','Marino vieni autobus romani vogliono parlarti  MARINO GUARDA RIDE ',?
'tanalibera','RT @MisterDonnie13 insomma #Marino avrebbe usato soldi pubblici portare cena parenti invece sistemarli allAtac ',?
'PGiancontier','RT @GhitaIacono @marcellodevito Voglio dirlo orgoglio  stato #M5S stanare #Marino #Marinodimettiti @beppegrillo ',?
'cavgabgab','RT @antoniobordin fanno dimettere #Marino solo perch #PD Coop devono papparsi appalti #Giubileo #Marinodimettiti ht ',?
'tito_m5s','RT @BarillariM5S Marino ha mentito romaniNon schioda perche vincerebbero grillini E vero Dimostreremo amministra un ',?
'attuale','FARSA UOMO RIDICOLO  MARINO PAGHER TASCA 20 MILA EURO SPESI CARTA CREDITO COMUNE ',?
'RafLindia','#marino ha vergogna @Storace @ameluzzi @MPenikas @gasparripdl @bastaCasta @beppegrillo @fattoquotidiano ',?
'slavina6','RT @antoniobordin #Marino nega caccia soldi qualcuno negasse furto trovassero refurtiva #Marinodimettiti ',?
'GhitaIacono','RT @antoniobordin fanno dimettere #Marino solo perch #PD Coop devono papparsi appalti #Giubileo #Marinodimettiti ht ',?
'marino29b','RT @M5SCamera @virginiaraggi presentato accesso atti verificare introiti incontri Marinomecenati #Marinodimettiti ',?
'slavina6','RT @selezione5stell Alessandro Battista  Se Marino mente pu farlo Mafia  ',?
'angelo7milano','RT @LuciaBorgonzoni @italygenocide situazione fosse drammatica Marino farebbe ridere gente uccide crisi b ',?
'elisabettamass3','RT @tosovale ristorante #Marino  mangiato pure dignit dimettersi ',?
'slavina6','RT @marcellodevito Incredibile Marino ha detto restituisce soldi Ha mangiato insaputa ',?
'selezione5stell','Alessandro Battista  Se Marino mente pu farlo Mafia  ',?
'pztretes','Marino dopo aver mangiato restituisce tutto ',?
'GambiniStefano','Conferenza stampa M5S MARINO CREDEVA FARLA FRANCA CREDEVA BENE PD DIFENDERA INTERESSE ',?
'elisabettamass3','RT @Piovegovernolad Marino piagnucola annuncia Pagher tasca mia (Certo si prima   ',?
'GhitaIacono','RT @marcellodevito Incredibile Marino ha detto restituisce soldi Ha mangiato insaputa ',?
'ohmabasta','RT @MadiaElenaBosch Ho parlato moglie #Marino ha detto conosce ogni caso lha invitato lei #Marinodimettiti ',?
'MisterDonnie13','insomma #Marino avrebbe usato soldi pubblici portare cena parenti invece sistemarli allAtac ',?
'sbaffato','RT @BarillariM5S Marino ha mentito romaniNon schioda perche vincerebbero grillini E vero Dimostreremo amministra un ',?
'borriroberto','RT @GhitaIacono Smentita Comunit #SantEgidio dichiarazioni Marino @M5SRoma #Marinodimettiti ',?
'daniloraineri','RT @antoniobordin #Marino nega caccia soldi qualcuno negasse furto trovassero refurtiva #Marinodimettiti ',?
'To_Arise','RT @BarillariM5S Marino ha mentito romaniproprio ZingarettiNon schiodano poltrona paura possano ',?
'GhitaIacono','RT @antoniobordin #Marino nega caccia soldi qualcuno negasse furto trovassero refurtiva #Marinodimettiti ',?
'aleimpa','RT @CarloDelNero ha detto ristoratore Marino  stato cena 15 anni fa  andato 3 volte toilette ',?
'CarloAlterego','RT @GhitaIacono Smentita Comunit #SantEgidio dichiarazioni Marino @M5SRoma #Marinodimettiti ',?
