@relation testing

@attribute User string
@attribute Text string
@attribute Sentiment {positive,negative,neutral}

@data
sbaffato,'RT @marioadinolfi Notte agitata Roma Marino verso dimissioni Commissario vota primavera ',negative
maumau6666,'Crozza vergogni davvero Ormai fa ridere Marino Renzi risultato patetico  identico ',positive
MPenikas,'RT @marcellodevito Incredibile Marino ha detto restituisce soldi Ha mangiato insaputa ',negative
marino29b,'RT @collecolluso Tassone (PD)ARRESTATOha portato Marino47933 voti #Marinodimettiti #la ',negative
TAL77SVAD,'RT @FraLisci75 diamine deve fare politico dimettersi Italia#Marino situazione  diventata patetica aspetti  ',negative
TAL77SVAD,'RT @demmy747 certezze Marinoabbandonato #PD traballano sussurro dimissioni diffonde ',negative
PGiancontier,'RT @virginiaraggi @ignaziomarino regala 20mila cittRoma compra @M5SRoma @marcellodevito @danielefron ',negative
infoitinterno,'Campidoglio polveriera spese pazze sindaco Marino Restituisco soldi vado avanti Procura indaga ',negative
poke_dem,'Marino indagato spese lui Restituisco 20mila euro citt ',negative
GambiniStefano,'Marino vieni autobus romani vogliono parlarti  MARINO GUARDA RIDE ',negative
tanalibera,'RT @MisterDonnie13 insomma #Marino avrebbe usato soldi pubblici portare cena parenti invece sistemarli allAtac ',negative
PGiancontier,'RT @GhitaIacono @marcellodevito Voglio dirlo orgoglio  stato #M5S stanare #Marino #Marinodimettiti @beppegrillo ',negative
cavgabgab,'RT @antoniobordin fanno dimettere #Marino solo perch #PD Coop devono papparsi appalti #Giubileo #Marinodimettiti ht ',negative
tito_m5s,'RT @BarillariM5S Marino ha mentito romaniNon schioda perche vincerebbero grillini E vero Dimostreremo amministra un ',negative
attuale,'FARSA UOMO RIDICOLO  MARINO PAGHER TASCA 20 MILA EURO SPESI CARTA CREDITO COMUNE ',negative
RafLindia,'#marino ha vergogna @Storace @ameluzzi @MPenikas @gasparripdl @bastaCasta @beppegrillo @fattoquotidiano ',negative
slavina6,'RT @antoniobordin #Marino nega caccia soldi qualcuno negasse furto trovassero refurtiva #Marinodimettiti ',negative
GhitaIacono,'RT @antoniobordin fanno dimettere #Marino solo perch #PD Coop devono papparsi appalti #Giubileo #Marinodimettiti ht ',negative
marino29b,'RT @M5SCamera @virginiaraggi presentato accesso atti verificare introiti incontri Marinomecenati #Marinodimettiti ',negative
slavina6,'RT @selezione5stell Alessandro Battista  Se Marino mente pu farlo Mafia  ',negative
angelo7milano,'RT @LuciaBorgonzoni @italygenocide situazione fosse drammatica Marino farebbe ridere gente uccide crisi b ',negative
elisabettamass3,'RT @tosovale ristorante #Marino  mangiato pure dignit dimettersi ',negative
slavina6,'RT @marcellodevito Incredibile Marino ha detto restituisce soldi Ha mangiato insaputa ',negative
selezione5stell,'Alessandro Battista  Se Marino mente pu farlo Mafia  ',negative
pztretes,'Marino dopo aver mangiato restituisce tutto ',negative
GambiniStefano,'Conferenza stampa M5S MARINO CREDEVA FARLA FRANCA CREDEVA BENE PD DIFENDERA INTERESSE ',negative
elisabettamass3,'RT @Piovegovernolad Marino piagnucola annuncia Pagher tasca mia (Certo si prima   ',negative
GhitaIacono,'RT @marcellodevito Incredibile Marino ha detto restituisce soldi Ha mangiato insaputa ',negative
ohmabasta,'RT @MadiaElenaBosch Ho parlato moglie #Marino ha detto conosce ogni caso lha invitato lei #Marinodimettiti ',negative
MisterDonnie13,'insomma #Marino avrebbe usato soldi pubblici portare cena parenti invece sistemarli allAtac ',negative
sbaffato,'RT @BarillariM5S Marino ha mentito romaniNon schioda perche vincerebbero grillini E vero Dimostreremo amministra un ',negative
borriroberto,'RT @GhitaIacono Smentita Comunit #SantEgidio dichiarazioni Marino @M5SRoma #Marinodimettiti ',negative
daniloraineri,'RT @antoniobordin #Marino nega caccia soldi qualcuno negasse furto trovassero refurtiva #Marinodimettiti ',negative
To_Arise,'RT @BarillariM5S Marino ha mentito romaniproprio ZingarettiNon schiodano poltrona paura possano ',negative
GhitaIacono,'RT @antoniobordin #Marino nega caccia soldi qualcuno negasse furto trovassero refurtiva #Marinodimettiti ',negative
aleimpa,'RT @CarloDelNero ha detto ristoratore Marino  stato cena 15 anni fa  andato 3 volte toilette ',negative
CarloAlterego,'RT @GhitaIacono Smentita Comunit #SantEgidio dichiarazioni Marino @M5SRoma #Marinodimettiti ',negative
MimodiCreta,'RT @borghiclaudio deriva pauperista far credere siamo crisi aragoste marino (peraltro scandalose) sar nostr ',negative
EnrichettaNegri,'RT @BarillariM5S Marino ha mentito romaniproprio ZingarettiNon schiodano poltrona paura possano ',negative
To_Arise,'RT @EmilianoLiuzzi #Marino giorno dimetter sar grazie ristoratori romani dice lunga stato comatoso partiti ',negative
VuonoGiuseppe,'Quando Marino fu cacciato Pittsburgh falsi rimborsi ',negative
Corrado_info,'RT @carlaruocco1 CONFERENZA STAMPA M5S CHIEDERE DIMISSIONI MARINO DOPO LENNESIMO SPRECO SOLDI PUBBLICI Dopo ',negative
cipriani90,'RT @gmartinelli1985  autocondonato spese pazzesco #Marinodimettiti #Marino ',negative
slavina6,'RT @GhitaIacono Smentita Comunit #SantEgidio dichiarazioni Marino @M5SRoma #Marinodimettiti ',negative
cipriani90,'RT @ZucconiPark Ecco bravo Marino Paga conto vai casa #Marinodimettiti ',negative
borriroberto,'RT @demmy747 certezze Marinoabbandonato #PD traballano sussurro dimissioni diffonde ',negative
cipriani90,'RT @FabriFernet #marino pezzente canta pure #bellaciao #marinoDIMETTITI ',negative
cipriani90,'RT @antoniobordin fanno dimettere #Marino solo perch #PD Coop devono papparsi appalti #Giubileo #Marinodimettiti ht ',negative
giuliocampese,'RT @RegoliClaudia Municipio Roma III buca strada gomma spaccata GRAZIE MARINO  ',negative
LeonePortoghese,'Marino indagato spese lui Restituisco 20mila euro citt Un&#39ammissione colpa desi ',negative
Exy_xy,'RT @tosovale ristorante #Marino  mangiato pure dignit dimettersi ',negative
Blandamura,'Marino indagato spese lui Restituisco 20mila euro citt Un&#39ammissione colpa desi ',negative
cipriani90,'RT @kappaespada Marino ha pagato colazione reduce Auschwitz carta credito Comune 8 euro #Marinodimettiti ',negative
augustosantori,'Romani credono LAustralia essere vergognoso sia pi vicina 20000 euro vuole regalare ',negative
GhitaIacono,'RT @titom5s domanda sorge spontanea passi notti hotel regali fiori mangi ristorante spese nostre ',negative
GhitaIacono,'RT @BarillariM5S Marino ha mentito romaniproprio ZingarettiNon schiodano poltrona paura possano ',negative
cipriani90,'RT @Penelopy2000 #Marino barava professore Recidivo #Marinodimettiti ',negative
GhitaIacono,'RT @BarillariM5S Marino ha mentito romaniNon schioda perche vincerebbero grillini E vero Dimostreremo amministra un ',negative
MassimoFasciolo,'RT @BarillariM5S Marino ha mentito romaniproprio ZingarettiNon schiodano poltrona paura possano ',negative
cipriani90,'RT @MadiaElenaBosch Ho parlato moglie #Marino ha detto conosce ogni caso lha invitato lei #Marinodimet ',negative
RegoliClaudia,'Municipio Roma III buca strada gomma spaccata GRAZIE MARINO  ',negative
cipriani90,'RT @massimoIazzari Paolo Mieli chiede dimissioni #Marino #lagabbia #la7 #marinodimettiti ',negative
cipriani90,'RT @emanuelemoraldi #lagabbia dimostra #Marino ha scaricato cena dirigenti Comunit S Egidio smentite stessi #Mar ',negative
To_Arise,'@romafaschifo @LaGabbiaTw  onesto ora Marino difendi pi Sentiamo ',negative
giorgiogaias92,'HA STUFATO PD ',negative
gfaccolla,'#Marino  quei bambini hanno amici immaginari solo sinventa cene ',negative
ChiaraColosimo,'RT @mauroev Marino dimetta coloro sono stati sindaci #Roma presidenti regione Lazio restituiscano spese ra ',negative
marytaxi65,'RT @aledibattista restituzioni #Marino sanno tanto patteggiamento  Renzi dovrebbe pagare danno immagine Roma ',negative
DilotKale,'RT @GhitaIacono @marcellodevito Voglio dirlo orgoglio  stato #M5S stanare #Marino #Marinodimettiti @beppegrillo ',negative
MPenikas,'RT @demmy747 certezze Marinoabbandonato #PD traballano sussurro dimissioni diffonde ',negative
tilt61,'RT @tosovale ristorante #Marino  mangiato pure dignit dimettersi ',negative
newsfeed_it,'Ignazio Marino ha stufato Pd Fonti dem passo dimissioni poi colpo dala ',negative
tosovale,'ristorante #Marino  mangiato pure dignit dimettersi ',negative
lorellacorelli,'RT @VittorioSgarbi @VittorioSgarbi Marino  Paperino  cattivo gliene viene bene unaRenzi invece  Topolino c ',negative
lorellacorelli,'RT @BelpietroTweet Marino rinuncia carta credito Comune vede cera rimasto soldo ',negative
cipriani90,'RT @massimogreco10 #Marino  quel compagno classe pi parlava pi combinava guai #Marinodimettiti ',negative
nonovvio,'RT @amperrino Marino sussurro dimissioni Il sindaco ormai  sotto choc  Affaritalianiit ',negative
mauroev,'Marino dimetta coloro sono stati sindaci #Roma presidenti regione Lazio restituiscano spese rappresentanza ',negative
AmerioRosanna,'Marino mente sapendo spudoratamente mentire sciocco bugiardo importa giova lasciarlo carica ',negative
To_Arise,'@SabellaAlfonso @museiincomune @Roma @Turismoromaweb @ignaziomarino @visitlazio  onesto ora Marino  credibile ',negative
cipriani90,'RT @EnricoPazzi genovese offriva tasca propriasembrava strano Infatti pagava soldi romani #Marino #Marinodimettiti ',negative
nonovvio,'RT @italiainsieme #ScontrinoGate ora liberiamo Roma #Marino ',negative
AchilleNobiloni,'Detto fra #Marino pu risparmiare 20000  tanto cacciano stesso via @HuffPostItalia ',negative
Nad45P,'Cari Compagni Compagne qui qui perch altri termini sfuggono sono offensivi ha ',negative
agabbia,'RT @Piovegovernolad Marino piagnucola annuncia Pagher tasca mia (Certo si prima   ',negative
il__filosofo,'RT @emiddionovi #Cota governatore Piemonte processato cacciato mutanda verde Marino rimane ladruncolo moralista ',negative
agabbia,'RT @Piovegovernolad Marino pronto dimettersi secondo fonti staff Campidoglio (Dimissioni   h ',negative
gaetano_rizza,'RT @carlaruocco1 CONFERENZA STAMPA M5S CHIEDERE DIMISSIONI MARINO DOPO LENNESIMO SPRECO SOLDI PUBBLICI Dopo ',negative
barkilphedro_,'Spese Ignazio Marino Lombardi Battista (M5S) Ha mentito deve dimettere ',negative
cipriani90,'RT @Alfredo22542194 Marino te cercano casamonacaavranno qualche incarico datte #Marinodimettiti ',negative
giorgiogaias92,'RT @lucarocca72 #Pd lha ancora capito ormai essere imbarazzante Roma  pi solo #Marino soglia lha  ',negative
cipriani90,'RT @FraLisci75 diamine deve fare politico dimettersi Italia#Marino situazione  diventata patetica aspetti  ',negative
gigidepalo,'#Marino Regalo citt quei 20mila  spesi rappresentanza Fermatelo Consigliatelo #testaiaffammaledasolo ',negative
vecchiotac,'Ho letto Marino pagher spese fatte carta credito Comune sto commuovermi ',negative
cipriani90,'RT @paceinterrait Ora #Marino fa gesto signore Rinuncia bancomat Comune rimborsa spese Troppo facile cos dimett ',negative
CarloDelNero,'ha detto ristoratore Marino  stato cena 15 anni fa  andato 3 volte toilette ',negative
